City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Moussoro,TD,83.79,broken clouds,13.6408,16.4901,Hôtel Salama
353,Deep River,CA,67.95,overcast clouds,46.1001,-77.4995,Deep River Motel
354,Tarakan,ID,82.17,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
356,Gao,ML,83.7,overcast clouds,16.6362,1.637,
358,Alexandria,EG,73.36,scattered clouds,31.2156,29.9553,Royal Crown Hotel
359,Westport,US,73.38,clear sky,41.1415,-73.3579,The Westport Inn
360,Megali Khora,GR,73.72,clear sky,38.6333,21.3667,Agrinio Imperial Hotel
362,Goure,NE,83.12,overcast clouds,13.9835,10.2704,
363,Broome,US,73.78,clear sky,42.2506,-75.833,Chenango Valley State Park
364,Pitea,SE,69.89,few clouds,65.3172,21.4794,Piteå Stadshotell
368,Khandagayty,RU,76.53,overcast clouds,50.7333,92.05,
370,Micheweni,TZ,74.89,light rain,-4.9667,39.8333,
373,Port Hueneme,US,76.78,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
374,Nhulunbuy,AU,72.21,heavy intensity drizzle,-12.2333,136.7667,East Arnhem Real Estate
375,Santo Domingo,DO,76.03,broken clouds,18.5001,-69.9886,Cabañas City Heart
377,Umm Lajj,SA,83.41,clear sky,25.0213,37.2685,Moon light Furnished Units
379,Lompoc,US,65.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
380,Sao Gabriel Da Cachoeira,BR,72.1,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
381,Metro,ID,84.69,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
382,Bima,ID,77.4,light rain,-8.4667,118.7167,Lambitu Hotel
383,Jumla,NP,73.4,broken clouds,29.2747,82.1838,Royal Garden Hotel
384,Cullera,ES,74.77,broken clouds,39.1667,-0.25,Hotel Santamarta
387,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
395,Fomento,CU,78.55,scattered clouds,22.1039,-79.7217,HOTEL ESCAMBRAY
398,Bandarbeyla,SO,81.39,overcast clouds,9.4942,50.8122,JABIR HOTEL
399,Pabrade,LT,71.19,overcast clouds,55.0,25.7833,Pavovere 2
401,Pedernales,DO,81.12,overcast clouds,18.0384,-71.744,Hotel Costa Marina
402,Asyut,EG,77.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
405,Bonthe,SL,75.88,moderate rain,7.5264,-12.505,Bonthe Holiday Village
406,Tukrah,LY,77.16,clear sky,32.5341,20.5791,Lagrota restaurant
408,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
412,Tautira,PF,76.46,scattered clouds,-17.7333,-149.15,Pension Oaoa
414,Faanui,PF,79.05,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
415,Kysyl-Syr,RU,77.23,few clouds,63.8986,122.7617,
420,Touros,BR,73.63,few clouds,-5.1989,-35.4608,INN NEW HORIZON
422,Praya,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
425,Tual,ID,81.61,broken clouds,-5.6667,132.75,Grand Vilia Hotel
427,Knysna,ZA,67.37,clear sky,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
429,Araguari,BR,66.49,few clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
430,Cairns,AU,75.15,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
431,Akom,CM,66.6,overcast clouds,2.6678,12.7109,Complexe Hôtelier Jeannette
434,Malpe,IN,78.1,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
435,Maroantsetra,MG,67.89,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
437,Mazamari,PE,66.9,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
438,Champerico,GT,81.03,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
439,Tadine,NC,72.27,overcast clouds,-21.55,167.8833,
440,Anloga,GH,75.2,moderate rain,5.7947,0.8973,Pin Drop Hotel
442,Mackay,AU,67.51,moderate rain,-21.15,149.2,International Lodge Motel
448,Alta Floresta,BR,76.01,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
451,Vila Velha,BR,68.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
452,Zaraza,VE,72.21,broken clouds,9.3503,-65.3245,Hotel Zaraza
456,Meadow Lake,US,80.08,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
461,Gashua,NG,82.38,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
463,Mandalgovi,MN,81.63,overcast clouds,45.7625,106.2708,В.Ганбат
464,Natchitoches,US,76.05,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
466,Svetlaya,RU,65.21,broken clouds,46.5389,138.3297,
467,Makaha,US,82.31,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
468,Porto Tolle,IT,75.09,clear sky,44.9497,12.3245,Klaus sas di Boscolo Claudio & c.
469,Okha,RU,74.23,few clouds,53.5739,142.9478,Sakhalin-Sfera
470,Salinopolis,BR,78.57,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
471,Asadabad,IR,67.95,clear sky,34.7824,48.1185,کامپیوتر صادق
473,Tonj,SS,72.39,overcast clouds,7.2737,28.6822,Lakan Hotel
475,Mangai,CD,67.89,clear sky,-4.05,19.5333,
477,Kupang,ID,79.97,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
480,Sumbe,AO,67.86,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
481,La Libertad,EC,69.01,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
482,Mayo,US,80.26,clear sky,38.8876,-76.5119,Resorts Resource Group International
485,Misratah,LY,78.03,clear sky,32.3754,15.0925,Almasa Hotel
487,Santa Vitoria,BR,65.82,few clouds,-18.8386,-50.1214,Center Hotel
488,Tshikapa,CD,65.14,clear sky,-6.4167,20.8,Tatem beach
494,Kabanjahe,ID,75.36,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
497,Harnosand,SE,66.99,broken clouds,62.6323,17.9379,First Hotel Stadt
499,Innisfail,AU,72.54,moderate rain,-17.5333,146.0333,Moondarra Motel
500,Labuhan,ID,84.74,broken clouds,-6.8844,112.2051,DoubleFAG
501,Mahibadhoo,MV,82.96,overcast clouds,3.7833,72.9667,Omadhoo Inn
502,Asau,RO,72.95,clear sky,46.4333,26.4,Casa Mika Ciobanus
503,Veraval,IN,84.56,light rain,20.9,70.3667,Lords Inn Somnath
504,Angoche,MZ,68.16,clear sky,-16.2325,39.9086,Guest House HESADA
505,Lithakia,GR,72.68,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
507,Meulaboh,ID,83.28,light rain,4.1363,96.1285,Kost Pria
509,Soure,BR,77.32,light rain,-0.7167,-48.5233,Casarão da Amazônia
512,Neumunster,DE,66.85,light rain,54.0667,9.9833,Best Western Hotel Prisma
516,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,hotel la terminal
518,Pouembout,NC,75.85,clear sky,-21.1333,164.9,Camping de Tipenga
520,Saint Anthony,US,77.95,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
521,Tura,IN,82.94,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
523,Mitu,CO,70.83,overcast clouds,1.1983,-70.1733,
527,Petatlan,MX,78.69,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
528,Kendari,ID,82.0,light rain,-3.945,122.4989,Hotel Wixel
530,Ayios Vasilios,GR,74.3,clear sky,37.8,22.8,
531,Polis,CY,71.42,clear sky,35.0367,32.4264,Marion
533,Severo-Yeniseyskiy,RU,66.97,scattered clouds,60.3725,93.0408,Aktolik
534,Kandrian,PG,84.9,light rain,-6.2167,149.55,Kandrian Station
535,Morehead,US,78.55,scattered clouds,37.2711,-87.1764,CCI Express Inn
539,Portland,US,78.78,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
540,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
541,Atakpame,TG,69.15,light rain,7.5333,1.1333,Hôtel Luxembourg Atakpame
544,Red Wing,US,75.29,clear sky,44.5625,-92.5338,"St. James Hotel, 1875 - A Historic Hotel of America"
545,Gagra,GE,70.72,light rain,43.3283,40.2239,Hotel KORSHIKOFF
546,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
548,Cocobeach,GA,75.27,overcast clouds,1.0002,9.5823,Hotel Esperance
551,Kardla,EE,70.05,overcast clouds,58.9978,22.7492,Padu hotel
557,Loreto,MX,69.42,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
560,Along,IN,79.68,moderate rain,28.1667,94.7667,Hotel West
561,Pyu,MM,75.92,overcast clouds,18.4833,96.4333,Mr Bo Bo
564,Vostok,RU,74.21,broken clouds,46.4856,135.8833,
566,Charters Towers,AU,65.68,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
567,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
569,Awash,ET,70.92,light rain,8.9833,40.1667,Kediga hotel
571,Susaki,JP,84.27,clear sky,33.3667,133.2833,Awa
573,Cabedelo,BR,74.07,light rain,-6.9811,-34.8339,Pousada Camboinha
575,Umm Kaddadah,SD,81.5,light rain,13.6017,26.6876,
578,Grenada,ES,67.68,clear sky,37.1882,-3.6067,HOTEL REINA CRISTINA
579,Belogorsk,RU,82.9,clear sky,50.9158,128.4611,Gostinitsa Vostok 2000
580,Thinadhoo,MV,82.33,few clouds,0.5333,72.9333,
582,Ayagoz,KZ,72.37,broken clouds,47.9714,80.4392,ХАН
583,Kaya,BF,78.17,overcast clouds,13.0917,-1.0844,Maison de l'appelé
584,Hovd,MN,82.81,overcast clouds,48.0056,91.6419,Hotel Khovd
585,Mumford,GH,74.26,light rain,5.2618,-0.759,Spanish Villa
586,Soe,ID,69.15,light rain,-9.8607,124.284,Dena Hotel
587,Bay City,US,80.82,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
589,Abu Samrah,SY,73.4,clear sky,35.3029,37.1841,
591,Anupgarh,IN,81.14,overcast clouds,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
593,Srandakan,ID,83.16,few clouds,-7.9386,110.2506,Puri Brata
596,Carauari,BR,71.89,clear sky,-4.8828,-66.8958,Hotel Fellip
597,Calvia,ES,72.09,few clouds,39.5657,2.5062,Castell Son Claret
598,Petropavlovsk-Kamchatskiy,RU,79.39,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
601,Gandu,BR,66.81,light rain,-13.7439,-39.4867,Pousada Duarte
602,Shimoda,JP,84.56,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
603,Rurrenabaque,BO,69.1,broken clouds,-14.4413,-67.5278,Casa de Campo
605,Burns Lake,CA,74.62,broken clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
607,Ugoofaaru,MV,83.12,moderate rain,5.6667,73.0,Ungoofaaru Inn
608,Kieta,PG,82.62,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
609,Tecolutla,MX,81.43,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
610,Tooele,US,77.43,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
612,Wenling,CN,80.98,moderate rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
613,Ginda,IN,77.27,overcast clouds,30.6945,78.4932,Sunil Bisht
615,Tanete,ID,84.36,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
622,Le Vauclin,MQ,82.45,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
623,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
626,Perry,US,81.32,clear sky,37.2506,-83.1999,Hampton Inn & Suites Hazard
627,Darhan,MN,80.37,broken clouds,49.4867,105.9228,Buudai Hotel
628,Axim,GH,74.93,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
629,Karratha,AU,72.07,clear sky,-20.7377,116.8463,ibis Styles Karratha
630,Samarai,PG,82.02,light rain,-10.6167,150.6667,Nuli Sapi
631,Miraflores,MX,68.04,few clouds,19.2167,-98.8083,Hotel Mansión
632,Nizhneudinsk,RU,80.22,overcast clouds,54.9076,99.0276,Gostinitsa Magistral'
633,Timizart,DZ,68.45,broken clouds,36.8,4.2667,yefssah restaurant
635,Pokhara,NP,80.73,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
636,Gilbues,BR,66.33,clear sky,-9.8317,-45.3439,Hotel Camapuã
638,Condoto,CO,73.53,overcast clouds,5.0935,-76.6497,Hotel Fabracha
639,Nueva Guinea,NI,72.64,overcast clouds,11.6876,-84.4562,Posadita La Reyna
641,Son La,VN,83.57,light rain,21.3167,103.9,Galaxy Grand Hotel
642,Pasaco,GT,75.52,broken clouds,13.9772,-90.2064,Eco Hotel Playa Quilombo de Curumbe
645,Kitimat,CA,70.18,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
646,Panjab,AF,69.67,clear sky,34.388,67.0233,
648,Laguna,US,77.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
653,Soto La Marina,MX,81.77,clear sky,23.7667,-98.2167,Hotel Chicago
654,Willmar,US,69.82,clear sky,45.1219,-95.0433,Lakeview Inn
655,Eresos,GR,69.89,clear sky,39.1667,25.9333,Studio Aspa
659,Arman,RU,71.02,broken clouds,59.7,150.1667,
661,Porosozero,RU,71.01,clear sky,62.7191,32.727,Porosozero
662,Pueblo,US,68.45,overcast clouds,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
663,Lincoln,US,80.51,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
665,Aykhal,RU,67.19,broken clouds,66.0,111.5,
667,Bafia,CM,67.55,light rain,4.75,11.2333,Hotel born beyem
668,Damghan,IR,82.8,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
670,Daru,PG,83.07,light rain,-9.0763,143.2092,Daru Lodge
671,Nizhniy Baskunchak,RU,71.87,scattered clouds,48.2198,46.8311,Arman hotel
674,Banjarmasin,ID,84.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
675,Dongsheng,CN,79.72,clear sky,39.8161,109.9776,Crowne Plaza Ordos
677,Kirovohrad,UA,67.66,clear sky,48.5132,32.2597,Reikartz Кропивницький
682,Surt,LY,78.44,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
683,Chernyshevskiy,RU,77.0,broken clouds,63.0128,112.4714,Chernyseyskiy
684,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
685,Soyo,AO,71.98,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
686,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
689,Bombay,IN,76.98,light rain,19.0144,72.8479,Hotel Avon Ruby-Dadar
690,Matara,LK,84.85,light rain,5.9485,80.5353,Amaloh Boutique Resort
