,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Merauke,ID,-8.4667,140.3333,80.85,84,34,12.24,light rain
1,Muscat,OM,23.6139,58.5922,91.42,66,100,3.11,overcast clouds
2,Dalvik,IS,65.9702,-18.5286,46.33,93,84,2.55,broken clouds
3,Hilo,US,19.7297,-155.09,82.13,77,40,0.0,scattered clouds
4,Hajipur,IN,25.6833,85.2167,84.18,94,75,3.44,mist
5,Atuona,PF,-9.8,-139.0333,76.71,69,3,11.16,clear sky
6,Sapa,PH,5.1544,120.3241,85.93,70,58,10.22,light rain
7,Hobart,AU,-42.8794,147.3294,54.27,68,20,10.36,few clouds
8,Lebu,CL,-37.6167,-73.65,51.96,86,74,23.47,light rain
9,Port Blair,IN,11.6667,92.75,86.04,79,75,5.75,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,68.5,86,100,17.6,moderate rain
11,Isiolo,KE,0.3546,37.5822,62.46,75,2,6.42,clear sky
12,Puerto Ayora,EC,-0.7393,-90.3518,70.56,83,52,5.99,broken clouds
13,Chuy,UY,-33.6971,-53.4616,45.66,74,34,4.12,scattered clouds
14,Torbay,CA,47.6666,-52.7314,58.87,96,100,9.22,light intensity drizzle
15,Talnakh,RU,69.4865,88.3972,54.21,41,38,2.46,scattered clouds
16,Ponta Do Sol,PT,32.6667,-17.1,68.0,69,45,5.77,scattered clouds
17,Hidrolandia,BR,-4.4081,-40.4378,72.84,83,50,3.38,scattered clouds
18,Hasaki,JP,35.7333,140.8333,100.29,73,5,9.89,clear sky
19,Sorong,ID,-0.8833,131.25,83.86,73,53,6.26,light rain
20,Fortuna,US,40.5982,-124.1573,57.65,86,56,4.0,broken clouds
21,Wattegama,LK,6.7989,81.4808,90.91,47,92,1.81,overcast clouds
22,Maumere,ID,-8.6199,122.2111,78.98,85,100,7.81,light rain
23,Wamba,NG,8.9333,8.6,70.56,97,99,2.91,overcast clouds
24,Acapulco,MX,16.8634,-99.8901,84.02,74,0,6.91,clear sky
25,Barrow,US,71.2906,-156.7887,51.82,66,0,6.91,clear sky
26,Port Alfred,ZA,-33.5906,26.891,62.01,36,0,10.11,clear sky
27,Rangoon,MM,16.8053,96.1561,78.76,94,100,5.75,light rain
28,Pisco,PE,-13.7,-76.2167,61.02,88,100,10.36,overcast clouds
29,Carnarvon,AU,-24.8667,113.6333,66.29,38,0,19.82,clear sky
30,Panzhihua,CN,26.5851,101.7128,72.21,84,99,3.78,overcast clouds
31,Kandi,BJ,11.1342,2.9386,71.19,91,90,2.77,light rain
32,Elko,US,41.0002,-115.5012,84.22,19,1,8.08,clear sky
33,San Francisco,US,37.7749,-122.4194,63.52,87,75,17.0,broken clouds
34,Pangoa,PE,-12.1167,-73.0,66.65,87,98,2.48,overcast clouds
35,Tiksi,RU,71.6872,128.8694,41.77,66,24,6.13,few clouds
36,Georgetown,MY,5.4112,100.3354,87.89,68,20,9.22,few clouds
37,Bredasdorp,ZA,-34.5322,20.0403,55.83,44,0,7.05,clear sky
38,Denpasar,ID,-8.65,115.2167,83.86,79,40,19.57,scattered clouds
39,Castro,BR,-24.7911,-50.0119,46.94,65,0,2.15,clear sky
40,Cape Town,ZA,-33.9258,18.4232,63.91,53,0,6.91,clear sky
41,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,75,14.97,broken clouds
42,Haines Junction,CA,60.7522,-137.5108,69.75,49,100,9.22,overcast clouds
43,Bluff,NZ,-46.6,168.3333,48.79,85,100,33.06,light rain
44,Mataura,NZ,-46.1927,168.8643,48.47,95,100,12.37,light rain
45,Eydhafushi,MV,5.1033,73.0708,83.53,72,100,10.85,overcast clouds
46,Kununurra,AU,-15.7667,128.7333,60.78,82,100,11.5,overcast clouds
47,Bilibino,RU,68.0546,166.4372,49.8,80,100,3.6,overcast clouds
48,San Quintin,MX,30.4833,-115.95,67.51,85,0,10.87,clear sky
49,Upernavik,GL,72.7868,-56.1549,35.4,98,99,6.11,overcast clouds
50,Busselton,AU,-33.65,115.3333,56.52,65,0,4.38,clear sky
51,Avarua,CK,-21.2078,-159.775,77.05,94,100,11.5,light rain
52,Ushuaia,AR,-54.8,-68.3,29.86,80,0,8.05,clear sky
53,Airai,TL,-8.9266,125.4092,69.3,76,100,1.77,light rain
54,Kapaa,US,22.0752,-159.319,82.38,74,100,14.97,overcast clouds
55,Vestmannaeyjar,IS,63.4427,-20.2734,52.16,89,99,7.74,overcast clouds
56,Nimaparha,IN,20.0667,86.0167,88.2,52,100,8.79,overcast clouds
57,Albany,US,42.6001,-73.9662,71.4,73,99,3.78,overcast clouds
58,Tuktoyaktuk,CA,69.4541,-133.0374,46.15,80,100,9.69,overcast clouds
59,Yellowknife,CA,62.456,-114.3525,63.12,36,20,6.91,few clouds
60,Lulea,SE,65.5842,22.1547,69.87,88,56,1.14,broken clouds
61,Olinda,BR,-8.0089,-34.8553,73.13,100,40,3.44,moderate rain
62,Faya,SA,18.3851,42.4509,71.71,23,91,8.68,overcast clouds
63,Kangaatsiaq,GL,68.3065,-53.4641,37.27,93,31,12.03,scattered clouds
64,Punta Arenas,CL,-53.15,-70.9167,26.71,93,20,3.44,few clouds
65,Husavik,IS,66.0449,-17.3389,47.39,95,99,4.43,overcast clouds
66,Bethel,US,41.3712,-73.414,71.91,78,0,3.44,clear sky
67,Byron Bay,AU,-28.65,153.6167,57.7,95,100,7.05,moderate rain
68,Khatanga,RU,71.9667,102.5,54.57,46,99,7.09,overcast clouds
69,Yar-Sale,RU,66.8333,70.8333,53.82,40,99,14.88,overcast clouds
70,Albion,US,42.2431,-84.753,76.95,54,0,3.44,clear sky
71,Awjilah,LY,29.1081,21.2869,78.48,39,0,8.5,clear sky
72,Saint-Philippe,RE,-21.3585,55.7679,65.21,73,48,11.74,scattered clouds
73,Manzanillo,CU,20.3433,-77.1167,75.78,91,9,10.25,clear sky
74,Mar Del Plata,AR,-38.0023,-57.5575,44.94,61,0,1.99,clear sky
75,Mahebourg,MU,-20.4081,57.7,68.29,83,40,10.36,light intensity shower rain
76,Alofi,NU,-19.0595,-169.9187,80.49,74,40,11.5,scattered clouds
77,Mount Gambier,AU,-37.8333,140.7667,49.91,87,100,5.75,overcast clouds
78,Hermanus,ZA,-34.4187,19.2345,60.08,53,0,10.18,clear sky
79,Zhigansk,RU,66.7697,123.3711,61.47,50,11,9.01,few clouds
80,Zhanaozen,KZ,43.3,52.8,71.35,31,0,9.15,clear sky
81,Kodiak,US,57.79,-152.4072,54.91,88,100,11.5,haze
82,Hamilton,US,39.1834,-84.5333,80.01,64,40,0.0,scattered clouds
83,Frankfort,ZA,-27.2667,28.4833,37.71,54,0,3.38,clear sky
84,Orsha,BY,54.5153,30.4053,63.86,86,6,4.7,clear sky
85,Shelburne,CA,44.0787,-80.2041,75.65,46,100,15.97,overcast clouds
86,Mana,GF,5.6592,-53.7767,76.62,89,61,6.33,broken clouds
87,Cabinda,AO,-5.55,12.2,71.55,92,47,4.94,scattered clouds
88,Codrington,AU,-38.2667,141.9667,51.19,73,100,10.13,overcast clouds
89,Bireun,ID,5.203,96.7009,85.77,53,100,2.33,overcast clouds
90,Selishche,RU,56.8879,33.2691,64.09,67,4,4.94,clear sky
91,Paramonga,PE,-10.6667,-77.8333,62.15,84,66,7.65,broken clouds
92,Cacapava,BR,-23.1008,-45.7069,54.48,90,0,0.98,clear sky
93,Sulphur Springs,US,33.1385,-95.6011,86.14,54,40,10.36,scattered clouds
94,Constitucion,CL,-35.3333,-72.4167,53.1,89,97,24.56,light rain
95,Vaitape,PF,-16.5167,-151.75,79.02,72,5,22.1,clear sky
96,Katsuura,JP,35.1333,140.3,83.41,74,0,14.97,clear sky
97,East London,ZA,-33.0153,27.9116,60.53,30,0,6.22,clear sky
98,Hithadhoo,MV,-0.6,73.0833,80.65,78,67,7.58,moderate rain
99,Tokur,RU,53.1333,132.9,84.47,32,8,8.95,clear sky
100,Loa Janan,ID,-0.583,117.095,90.18,54,97,2.24,overcast clouds
101,Tasiilaq,GL,65.6145,-37.6368,39.36,89,99,1.79,overcast clouds
102,Saint-Augustin,CA,51.226,-58.6502,55.02,86,100,1.7,overcast clouds
103,Norman Wells,CA,65.282,-126.8329,73.44,43,20,11.5,few clouds
104,Limbang,MY,4.75,115.0,84.31,60,100,4.59,overcast clouds
105,Luganville,VU,-15.5333,167.1667,79.3,83,31,14.61,light rain
106,Udachnyy,RU,66.4167,112.4,64.45,63,69,3.22,broken clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,66.97,76,4,5.59,clear sky
108,Butaritari,KI,3.0707,172.7902,82.89,76,17,16.37,few clouds
109,Chokurdakh,RU,70.6333,147.9167,60.1,35,63,5.26,broken clouds
110,Qaanaaq,GL,77.484,-69.3632,39.13,73,100,3.29,overcast clouds
111,Makhu,IN,31.1033,74.9978,86.58,65,100,8.23,overcast clouds
112,Lagoa,PT,39.05,-27.9833,66.24,94,71,9.4,broken clouds
113,Lakeside,US,30.13,-81.7682,80.98,84,0,8.05,clear sky
114,Bengkulu,ID,-3.8004,102.2655,79.83,69,94,3.44,overcast clouds
115,Avera,US,33.194,-82.5271,77.56,78,100,6.76,overcast clouds
116,Longyearbyen,SJ,78.2186,15.6401,46.24,87,75,18.41,broken clouds
117,Kuybyshevskiy Zaton,RU,55.1593,49.1701,49.39,86,100,14.18,light rain
118,Kahului,US,20.8947,-156.47,80.62,76,40,17.27,scattered clouds
119,Villa Bruzual,VE,9.3328,-69.1208,71.58,97,97,2.71,overcast clouds
120,Hirson,FR,49.9226,4.0826,53.42,97,51,4.38,broken clouds
121,Ribeira Grande,PT,38.5167,-28.7,67.37,93,66,6.98,broken clouds
122,Chilca,PE,-12.5211,-76.7372,60.42,87,95,6.49,overcast clouds
123,Lima,PE,-12.0432,-77.0282,59.9,90,75,8.05,broken clouds
124,Benguela,AO,-12.5763,13.4055,68.14,68,38,4.23,scattered clouds
125,Coruripe,BR,-10.1256,-36.1756,74.37,91,75,8.03,broken clouds
126,Iqaluit,CA,63.7506,-68.5145,46.13,93,75,2.3,broken clouds
127,Kita,ML,13.0349,-9.4895,74.59,81,100,5.17,overcast clouds
128,San Patricio,US,28.017,-97.5169,84.88,77,0,8.86,clear sky
129,Taoudenni,ML,22.6783,-3.9836,96.3,9,82,8.25,broken clouds
130,Gasa,PS,31.5,34.4667,77.31,65,0,0.81,clear sky
131,Nawabganj,BD,24.5911,88.271,90.19,64,65,8.16,light rain
132,Georgiyevka,KZ,43.0369,74.7114,71.64,37,20,2.24,few clouds
133,Matelandia,BR,-25.2408,-53.9964,52.57,95,0,4.34,clear sky
134,Semirom,IR,31.4167,51.5667,77.49,12,53,4.29,broken clouds
135,Selikhino,RU,50.3672,137.4996,81.39,66,2,10.87,clear sky
136,Palmer,US,42.1584,-72.3287,68.41,79,75,0.0,broken clouds
137,New Norfolk,AU,-42.7826,147.0587,53.92,55,11,2.86,few clouds
138,Nome,US,64.5011,-165.4064,69.17,67,0,4.61,clear sky
139,Slave Lake,CA,55.2834,-114.769,67.98,64,75,4.61,broken clouds
140,Zonhoven,BE,50.9914,5.3709,56.46,98,73,6.62,broken clouds
141,Tulsipur,NP,28.131,82.2973,89.29,65,23,4.92,light rain
142,Aliwal North,ZA,-30.6937,26.7114,39.49,41,0,3.11,clear sky
143,Ostrovnoy,RU,68.0531,39.5131,50.58,91,90,15.01,overcast clouds
144,Ozinki,RU,51.1786,49.6769,62.26,60,64,1.36,broken clouds
145,Achinsk,RU,56.2694,90.4993,66.7,52,100,5.97,overcast clouds
146,Shache,CN,38.4167,77.2406,96.93,11,6,10.6,clear sky
147,Abha,SA,18.2164,42.5053,71.42,37,90,4.61,haze
148,Makokou,GA,0.5738,12.8642,66.6,99,59,2.35,broken clouds
149,Nanortalik,GL,60.1432,-45.2371,42.64,83,98,6.31,overcast clouds
150,Adrar,MR,20.5022,-10.0711,83.86,14,4,10.16,clear sky
151,Anadyr,RU,64.75,177.4833,48.7,93,75,22.37,light rain
152,Cabo San Lucas,MX,22.8909,-109.9124,84.61,61,0,17.27,clear sky
153,Provideniya,RU,64.3833,-173.3,57.36,77,100,13.42,overcast clouds
154,Encheng,CN,22.1839,112.3026,81.41,81,100,17.81,overcast clouds
155,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,96,95,5.39,overcast clouds
156,Namatanai,PG,-3.6667,152.4333,84.76,67,23,10.58,few clouds
157,Mattru,SL,7.6244,-11.8332,72.32,99,100,0.74,light rain
158,Winsum,NL,53.33,6.5208,58.08,93,100,11.05,overcast clouds
159,Sabang,ID,5.8933,95.3214,84.02,71,71,21.0,broken clouds
160,Jamestown,US,42.097,-79.2353,71.24,68,0,6.91,clear sky
161,Barranca,PE,-10.75,-77.7667,61.39,83,64,6.96,broken clouds
162,Vanimo,PG,-2.6741,141.3028,86.23,64,29,7.74,scattered clouds
163,Anshan,CN,41.1236,122.99,74.95,87,100,1.52,overcast clouds
164,Kaitangata,NZ,-46.2817,169.8464,44.71,92,100,18.25,light rain
165,Popondetta,PG,-8.7537,148.2534,90.48,48,4,7.29,clear sky
166,Meshcherino,RU,55.1957,38.36,61.25,68,0,12.41,clear sky
167,Itarema,BR,-2.9248,-39.9167,77.52,85,0,13.2,clear sky
168,Brownfield,US,33.1812,-102.2744,83.39,26,0,10.74,clear sky
169,Saskylakh,RU,71.9167,114.0833,52.84,52,100,9.33,overcast clouds
170,Zlynka,RU,52.4267,31.7378,67.62,74,0,5.75,clear sky
171,Santa Cruz,BO,-17.8,-63.1667,65.66,94,40,3.44,scattered clouds
172,Maniitsoq,GL,65.4167,-52.9,43.72,82,100,11.01,overcast clouds
173,Kloulklubed,PW,7.0419,134.2556,86.5,74,45,7.47,scattered clouds
174,Hofn,IS,64.2539,-15.2082,51.24,92,100,3.06,light rain
175,Ulladulla,AU,-35.35,150.4667,52.7,92,100,14.38,light rain
176,Kenai,US,60.5544,-151.2583,66.02,74,75,10.36,broken clouds
177,Kharp,RU,66.8014,65.8081,56.17,52,100,10.94,overcast clouds
178,Sabha,LY,27.0377,14.4283,84.09,18,9,5.14,clear sky
179,Pandan,PH,14.0453,124.1694,86.4,68,94,9.89,overcast clouds
180,Weiser,US,44.251,-116.9693,89.8,24,0,6.91,clear sky
181,Balkanabat,TM,39.5108,54.3671,82.0,54,0,8.46,clear sky
182,Oussouye,SN,12.485,-16.5469,82.49,86,74,5.03,broken clouds
183,Joniskelis,LT,56.0253,24.1689,68.31,90,100,7.18,overcast clouds
184,Talara,PE,-4.5772,-81.2719,64.15,85,5,15.57,clear sky
185,Gat,IL,31.61,34.7642,77.4,63,0,0.87,clear sky
186,Half Moon Bay,US,37.4636,-122.4286,65.62,84,100,16.11,mist
187,Boke,GN,10.9409,-14.2967,74.82,96,100,1.39,moderate rain
188,Fairbanks,US,64.8378,-147.7164,80.56,34,40,0.0,smoke
189,Biltine,TD,14.5333,20.9167,80.04,58,100,12.5,overcast clouds
190,Saint George,US,37.1041,-113.5841,97.39,18,0,12.66,clear sky
191,Dikson,RU,73.5069,80.5464,33.76,94,100,7.87,overcast clouds
192,Roald,NO,62.5833,6.1333,62.33,94,50,5.75,scattered clouds
193,Pahrump,US,36.2083,-115.9839,95.05,15,0,4.0,clear sky
194,Khorixas,NA,-20.3667,14.9667,57.94,48,11,19.62,few clouds
195,Asfi,MA,32.2994,-9.2372,64.98,80,5,10.96,clear sky
196,Geraldton,AU,-28.7667,114.6,64.81,52,0,18.41,clear sky
197,Kedrovyy,RU,56.1667,91.8167,59.41,53,100,3.56,overcast clouds
198,Victoria,HK,22.2855,114.1577,88.18,76,100,20.0,overcast clouds
199,Esperance,AU,-33.8667,121.9,57.31,60,0,5.86,clear sky
200,Esqueda,MX,30.7167,-109.5833,72.16,68,67,6.98,broken clouds
201,Lavrentiya,RU,65.5833,-171.0,49.51,81,97,7.2,overcast clouds
202,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,10.36,light intensity shower rain
203,Vaini,TO,-21.2,-175.2,77.16,83,75,11.5,broken clouds
204,Thompson,CA,55.7435,-97.8558,44.76,76,20,10.36,few clouds
205,Cayenne,GF,4.9333,-52.3333,80.1,1,20,2.3,few clouds
206,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,18.41,scattered clouds
207,Gort,IE,53.0664,-8.8167,51.55,97,77,5.17,broken clouds
208,Lusaka,ZM,-15.4067,28.2871,51.57,94,35,11.56,scattered clouds
209,Gannan,CN,47.9147,123.5031,85.05,48,16,3.87,few clouds
210,Coihaique,CL,-45.5752,-72.0662,34.41,100,100,3.44,light rain
211,Sitka,US,57.0531,-135.33,60.69,72,100,11.5,overcast clouds
212,Goderich,CA,43.7501,-81.7165,79.12,41,87,12.66,overcast clouds
213,Flinders,AU,-34.5833,150.8552,56.17,85,100,7.0,light rain
214,Erenhot,CN,43.6475,111.9767,83.17,29,53,5.23,broken clouds
215,Barcelos,PT,41.5388,-8.6151,58.91,91,0,3.42,clear sky
216,Warmbad,NA,-28.45,18.7333,58.32,50,1,20.78,clear sky
217,Belen,TR,36.4891,36.2233,68.14,78,0,12.66,clear sky
218,Itacare,BR,-14.2775,-38.9967,71.83,86,77,6.87,broken clouds
219,Zarubino,RU,42.63,131.0922,60.94,91,100,5.57,overcast clouds
220,Dibulla,CO,11.2725,-73.3091,77.09,89,77,6.91,broken clouds
221,Maiduguri,NG,11.8464,13.1603,78.96,65,98,8.03,overcast clouds
222,Belmonte,BR,-15.8631,-38.8828,72.66,82,47,7.65,scattered clouds
223,Mabaruma,GY,8.2,-59.7833,73.0,95,51,1.63,broken clouds
224,Bayir,TR,37.2687,28.2167,61.32,56,0,4.38,clear sky
225,Prestea,GH,5.4327,-2.1428,72.82,92,100,3.6,light rain
226,Gisborne,NZ,-38.6533,178.0042,51.08,80,98,2.98,overcast clouds
227,Kaka,TM,37.3482,59.6143,92.1,26,0,5.39,clear sky
228,Ust-Ilimsk,RU,58.0006,102.6619,83.25,31,58,9.64,broken clouds
229,Vardo,NO,70.3705,31.1107,46.38,93,100,14.97,overcast clouds
